S.no,Question,Answer
,,"No, the CSC Shubhlabh Plan does not offer any liquidity during the first five years. You cannot withdraw or surrender your investment"
1,Can I withdraw money from the CSC Shubhlabh Plan within the first five years?,completely or partially during this period.
2,What is the IndiaFirst CSC Shubhlabh Plan?,It is a low premium insurance CSC Shubhlabh Plan that helps you build savings while providing life cover.
3,How does this CSC Shubhlabh Plan help with saving for the future ?,It helps you build a corpus through regular interest additions and ensures you are protected against life's unexpected turns.
4,What is the minimum floor rate guaranteed by the CSC Shubhlabh Plan?,The CSC Shubhlabh Plan guarantees a minimum floor rate of 1.0% per annum on the account value during the CSC Shubhlabh Plan term.
5,What modes of premium payment are available in CSC Shubhlabh Plan?,"You can pay your premium monthly, half-yearly, or yearly."
6,How long do I need to pay premiums for this CSC Shubhlabh Plan?,You can choose to pay premiums for either 10 or 15 years.
7,What happens if the life assured passes away during the CSC Shubhlabh Plan term?,A lump sum death benefit is paid to the nominee.
8,Can I enroll in this CSC Shubhlabh Plan easily?,"Yes, you can enjoy hassle-free enrollment by providing your name and Aadhar number."
9,Does the CSC Shubhlabh Plan provide any protection for my family?,"Yes, the CSC Shubhlabh Plan provides a lump sum death benefit to the nominee in case of the life assured's untimely demise."
10,Is there flexibility in premium payments in CSC Shubhlabh Plan?,"Yes, you can choose to pay premiums as per your convenience during the year."
11,Why should I save for the future in CSC Shubhlabh Plan?,Saving helps you achieve your financial goals and provides a cushion against emergencies.
12,What are the benefits of saving systematically in CSC Shubhlabh Plan?,It helps in building a corpus systematically and ensures consistent growth over time.
13,What is the purpose of the IndiaFirst CSC Shubhlabh Plan?,To help you build savings conveniently while providing life cover and ensuring financial security for your family.
14,Is this CSC Shubhlabh Plan suitable for someone looking for long-term savings?,"Yes, it is ideal for long-term savings with the flexibility to pay premiums for 10 or 15 years."
15,Can I change my premium payment mode later in CSC Shubhlabh Plan?,"The CSC Shubhlabh Plan generally allows flexibility, but you should check specific terms and conditions for changes."
16,How is the account value of the CSC Shubhlabh Plan managed?,The account value grows through guaranteed interest additions during the CSC Shubhlabh Plan term.
17,What is a corpus in the context of this CSC Shubhlabh Plan?,A corpus refers to the total savings accumulated in your account over time.
18,Is there any life cover provided in this CSC Shubhlabh Plan?,"Yes, the CSC Shubhlabh Plan includes a life cover that pays out a death benefit in case of the life assured's demise."
19,How can I secure my family’s future with this CSC Shubhlabh Plan?,"By building savings and ensuring a death benefit payout, you secure your family's financial future."
20,What documents do I need to enroll in this CSC Shubhlabh Plan?,You need to provide your name and Aadhar number for enrollment.
,,"On maturity, you receive a lump sum amount that is the higher of the total premiums paid (including top-ups and less any partial"
21,What do you receive at the end of the CSC Shubhlabh Plan term?,"withdrawals) compounded at 1% per annum, or the accumulated account value."
,,"The maturity amount is calculated as the higher of the total premiums paid (including top-ups) compounded at 1% per annum, or the"
22,How is the maturity amount calculated in CSC Shubhlabh Plan?,accumulated account value.
23,How will the maturity amount be paid in CSC Shubhlabh Plan?,The maturity amount will be paid through a bank account using NEFT or RTGS.
,,"If the life assured dies while the CSC Shubhlabh Plan is active with life cover, a lump sum amount is paid to the nominee, appointee, or legal"
,,"heir. This amount is the higher of the sum assured, 105% of total premiums paid (including top-ups), total premiums paid compounded at"
24,What happens if the life assured dies while theCSC Shubhlabh Plan is in force with life cover?,"1% per annum, or the account value."
,,"If the life assured dies while the CSC Shubhlabh Plan is in paid-up status, a lump sum amount equal to the higher of the paid-up sum"
25,What happens if the life assured dies while the CSC Shubhlabh Plan is in paid-up status?,"assured or the accumulated account value is paid to the nominee, appointee, or legal heir."
26,What is the Premium Allocation Charge in the first year in CSC Shubhlabh Plan?,The Premium Allocation Charge in the first year is 20% of the annualized premium.
27,Is there a Premium Allocation Charge for Top-Up premiums in CSC Shubhlabh Plan?,"No, there is no allocation charge on Top-Up premiums."
28,What is the Fund Management Charge under the CSC Shubhlabh Plan?,The Fund Management Charge is not applicable.
29,What is the Mortality Charge under the CSC Shubhlabh Plan?,"The Mortality Charge is expressed in rupees per 1000 sum at risk, and it is guaranteed throughout the term."
30,Is there a Discontinuance Charge?,"No, there is no Discontinuance Charge."
31,Who bears the service tax under the CSC Shubhlabh Plan?,The service tax will be borne by the policyholder.
,,"Yes, you can cancel your CSC Shubhlabh Plan during the free look period, which is within the first 15 days from receiving your CSC"
32,Can you cancel your CSC Shubhlabh Plan during the free look period?,Shubhlabh Plan details.
33,What refund do you get if you cancel yourCSC Shubhlabh Planduring the free look period?,"You will receive a refund of the premium paid minus pro-rata mortality charge, medical fees (if any), and any stamp duty paid."
,What is the death benefit if the life assured commits suicide within 12 months from the CSC Shubhlabh Plan,
34,commencement?,"The death benefit payable will be limited to 80% of the total premiums paid, including any top-up premiums paid."
,,"If the life assured commits suicide within one year of reinstatement, the higher of 80% of total premiums paid or the account value will be"
35,What happens if the life assured commits suicide within one year of reinstatement?,paid.
,,"Section 41 prohibits offering or accepting rebates of commission or premium, except as allowed by the insurer’s published prospectuses or"
36,"What does Section 41 of the Insurance Act, 1938 prohibit?",tables.
,,Section 45 allows a policy to be called into question within three years from the policy issuance on grounds of fraud or misstatement. After
37,What are the consequences of making false or incorrect submissions according to Section 45?,"three years, the policy cannot be called into question except for fraud."
38,What is the shareholding pattern of IndiaFirst Life Insurance as of the latest update?,"The shareholding pattern is Bank of Baroda – 65%, Union Bank of India – 9%, and Carmel Point Investments India Private Limited – 26%."
,,"Exclusions include suicide, war, terrorism, criminal activity, poison, service in armed forces, participation in dangerous activities, and"
39,What exclusions apply to Accidental Death Benefit?,nuclear contamination.
72,What benefits are available if the CSC Shubhlabh Plan is not revived within 5 years?,,"balance, but residual addition will not be credited."
,,,"If the life assured dies during the revival period, the account value will be paid to the nominee or legal heir, and the CSC Shubhlabh Plan will"
73,What happens if the life assured dies during the revival period in CSC Shubhlabh Plan?,,be terminated immediately.
,,,"You will receive a 30-day grace period to pay the premium. If you do not pay within this period, the CSC Shubhlabh Plan will continue with"
74,What happens if the premium is not paid after the first 5 CSC Shubhlabh Plan years?,,life cover until the end of the revival period.
,,,"You can revive the CSC Shubhlabh Plan, complete withdrawal from the CSC Shubhlabh Plan without any life cover, or convert the CSC"
75,What options do I have after the first 5 CSC Shubhlabh Plan years if the premium is not paid?,,Shubhlabh Plan to a Paid-Up CSC Shubhlabh Plan.
,,,"A Paid-Up CSC Shubhlabh Plan is a CSC Shubhlabh Plan where the Sum Assured is reduced to the Paid-Up Sum Assured, and no further"
76,What is a Paid-Up Plan?,,"premiums are paid. In case of death or survival until maturity, the benefits are based on the Paid-Up Sum Assured or Fund Value."
,,,The Paid-Up Sum Assured is calculated as Sum Assured multiplied by (Total Premiums Paid / Total Premiums Payable under the CSC
77,How is the Paid-Up Sum Assured calculated in CSC Shubhlabh Plan?,,Shubhlabh Plan).
,,,"Yes, there are charges such as Premium Allocation Charge, Fund Management Charge, Policy Administration Charge, Mortality Charge, and"
78,Are there any charges under the CSC Shubhlabh Plan?,,Discontinuance Charge.
,,,"The Premium Allocation Charge is a percentage of the annualized premium deducted during the first year of the policy. For Year 1, it is 20%"
79,What is the Premium Allocation Charge in CSC Shubhlabh Plan?,,"per annum, and for Year 2 onwards, it is nil."
80,Is there a Fund Management Charge in CSC Shubhlabh Plan?,,"No, there is no Fund Management Charge applicable under this CSC Shubhlabh Plan."
81,Who bears the service tax on the CSC Shubhlabh Plan?,,The service tax is to be borne by the policyholder.
,,,"No policy of life insurance shall be called in question on any ground whatsoever after the expiry of three years from the date of the policy, i."
,,,"e., from the date of issuance of the policy or the"
,,,date of commencement of risk or the date of revival of the policy or the date of the rider to the
82,What happens in case of submission of information which is false or incorrect,in CSC Shubhlabh Plan?,"policy, whichever is later"
83,What are the conditions in which the benefits of this policy will not be paid in CSC Shubhlabh Plan?,,Suicide Exclusion due to terminal illness.
,,,"The Accidental Death Benefit excludes payment for deaths resulting from suicide, war, military service, criminal acts, poison, armed forces"
84,What are the exclusions for accidental death benefit in CSC Shubhlabh Plan?,,"service, flying activities (unless as a passenger), professional sports, adventurous hobbies, or nuclear contamination."
85,Can I withdraw my money in the first five years in CSC Shubhlabh Plan?,,"No, the CSC Shubhlabh Plan does not offer liquidity in the first five years. You cannot withdraw or surrender the policy during this period."
86,What are the premium payment options available in CSC Shubhlabh Plan?,,"You can pay your premium monthly, half-yearly, or yearly."
87,How long do I need to pay premiums for this CSC Shubhlabh Plan?,,You can choose to pay premiums for a period of 10 or 15 years.
88,What happens if the life assured passes away during the policy term?,,A lump sum death benefit will be paid to the nominee.
,,,"Yes, the CSC Shubhlabh Plan provides a guaranteed minimum floor rate of 1.0% per annum on the account value during the CSC Shubhlabh"
89,Is there a guaranteed return on my investment in CSC Shubhlabh Plan?,,Plan term.
90,What documents are required for enrolment in CSC Shubhlabh Plan?,,You need to provide your Name and Aadhar number for hassle-free enrolment.
,,,The CSC Shubhlabh Plan is designed to help you save for the future while providing financial protection for your family in case of an
91,What is the purpose of this CSC Shubhlabh Plan?,,untimely demise.
92,Can I increase or decrease the premium amount after choosing a payment mode?,,"No, the premium amount and payment mode are fixed once chosen."
93,What are the benefits of choosing this CSC Shubhlabh Plan?,,The CSC Shubhlabh Plan offers savings growth through regular interest additions and life insurance cover.
,,,The policy document does not specify partial withdrawals; it states no liquidity for the first five years. Please refer to policy terms for post-
94,Can I partially withdraw my money after the first five years in CSC Shubhlabh Plan?,,five-year details.
95,Is there any flexibility in the premium payment term in CSC Shubhlabh Plan?,,"Yes, you can choose between a 10-year or 15-year premium payment term based on your convenience."
96,How can I ensure my family is financially secure with this CSC Shubhlabh Plan?,,"By paying the premiums, you ensure a death benefit payout to your nominee in case of your untimely death."
97,Will my premiums earn interest in CSC Shubhlabh Plan?,,"Yes, your account value will earn a guaranteed minimum floor rate of 1.0% per annum during the CSC Shubhlabh Plan term."
98,Can I nominate anyone for the death benefit in CSC Shubhlabh Plan?,,"Yes, you can nominate a beneficiary for the death benefit payout."
,,,Tax benefits may be available on premiums paid and benefits received as per prevailing Income Tax laws. Consult your tax advisor for
99,Are there any tax benefits associated with this CSC Shubhlabh Plan?,,details.
100,What happens if I miss a premium payment in,in CSC Shubhlabh Plan?,"The policy may provide a grace period for premium payments, but you should refer to the policy document for specific details."
,,,"The CSC Shubhlabh Plan allows for systematic saving and provides a guaranteed interest rate, helping to build a corpus even during"
101,How does the CSC Shubhlabh Plan help with emergency situations that affect savings in CSC Shubhlabh Plan?,,unforeseen emergencies.
102,Can I change the premium payment frequency during the policy term in CSC Shubhlabh Plan?,,"Yes, you can change the premium payment frequency without any charges/fees during the premium paying term."
103,Is there any life cover provided under this CSC Shubhlabh Plan?,,"Yes, the CSC Shubhlabh Plan provides life cover along with savings growth, ensuring financial protection for"
,,,"Benefits will not be paid in cases of suicide within 12 months, death or disability due to war, criminal acts, substance abuse, participation in"
104,What are the conditions under which the benefits of the policy will not be paid in CSC Shubhlabh Plan?,,"dangerous activities, or nuclear contamination."
105,What is the exclusion for accidental death benefits in CSC Shubhlabh Plan?,,"Accidental death benefits will not be paid if caused by suicide, war, criminal acts, substance abuse, or participation in dangerous activities."
106,Are there any exclusions for accidental total permanent disability benefits in CSC Shubhlabh Plan?,,"Yes, exclusions include suicide, war, criminal acts, substance abuse, dangerous activities, and congenital anomalies."
107,What is considered a pre-existing condition for critical illness coverage,in CSC Shubhlabh Plan?,Any condition diagnosed or treated within 48 months prior to policy issuance or reinstatement is considered pre-existing.
108,Are there exclusions for critical illness claims in CSC Shubhlabh Plan?,,"Yes, exclusions include pre-existing conditions, self-inflicted injuries, substance abuse, war, and participation in hazardous activities."
109,How does the policy handle suicides within the first 12 months in CSC Shubhlabh Plan?,,"The nominee will receive at least 80% of premiums paid or the surrender value, whichever is higher."
110,Can you claim accidental death benefits if the death occurred during a military operation in CSC Shubhlabh Plan?,,"No, accidental death benefits are excluded if the death occurred during military operations or service in war."
111,What is the impact of engaging in adventurous sports on the in CSC Shubhlabh Plan?,,Benefits are not payable if death or disability results from engaging in adventurous sports or activities.
112,Is there coverage for disabilities resulting from substance abuse in CSC Shubhlabh Plan?,,"No, disabilities resulting from substance abuse are excluded from coverage."
113,How does nuclear contamination affect policy claims in CSC Shubhlabh Plan?,,Claims are not payable if they arise from nuclear contamination or exposure to radioactive materials.
114,What are the conditions for policy nomination in CSC Shubhlabh Plan?,,"Nomination is allowed according to Section 39 of the Insurance Act, 1938."
115,What does policy assignment involve in CSC Shubhlabh Plan?,,"Assignment of the policy is allowed under Section 38 of the Insurance Act, 1938."
116,What is the prohibition of rebate in insurance policies in CSC Shubhlabh Plan?,,"Section 41 of the Insurance Act prohibits any rebate of premiums or commissions, with penalties for violations."
117,What happens if false information is provided during policy submission in CSC Shubhlabh Plan?,,The insurer can call the policy into question within three years of issuance based on fraud or misstatement.
118,What is Section 45 of the Insurance Act?,,It outlines the conditions under which a policy can be challenged based on fraud or misstatement within three years of issuance.
119,How does the insurer handle misstatements or suppression of facts in CSC Shubhlabh Plan?,,"The insurer may repudiate the policy within three years if there is fraud or misstatement, with penalties and refunds applicable."
120,What is the process for policy revival in,in CSC Shubhlabh Plan?,"To revive a lapsed policy, submit a revival application and pay any outstanding premiums plus interest."
121,Can the policy be transferred to another person,in CSC Shubhlabh Plan??,"Yes, the policy can be assigned or transferred as per Section 38 of the Insurance Act, 1938."
122,Are there any benefits for early payment of premiums,in CSC Shubhlabh Plan?,Some policies offer discounts or benefits for paying premiums in advance.
123,How is the surrender value of a policy calculated,in CSC Shubhlabh Plan?,It is based on the fund value after deducting any applicable surrender charges.
124,What happens if the policyholder relocates,in CSC Shubhlabh Plan?,Notify the insurer to update records and ensure continued service.
125,Are there any penalties for late premium payments,in CSC Shubhlabh Plan?,"A grace period is provided; however, if payments remain unpaid, the policy may lapse or convert to a reduced paid-up status."
126,Can multiple beneficiaries be nominated,in CSC Shubhlabh Plan?,"Yes, multiple beneficiaries can be nominated with specified percentages for each."
127,What is the lock-in period for the,CSC Shubhlabh Plan?,"Typically, it is five years during which the policy cannot be surrendered."
128,How are fund management charges deducted,in CSC Shubhlabh Plan?,They are a percentage of the fund’s value and are deducted daily from the net asset value (NAV).
129,What types of funds are available in,CSC Shubhlabh Plan?,"Options may include equity funds, debt funds, balanced funds, etc."
130,Can fund allocations be changed in,CSC Shubhlabh Plan?,"Yes, you can switch between funds according to the policy’s terms."
131,How does the policy handle partial withdrawals,in CSC Shubhlabh Plan?,Partial withdrawals reduce the fund value and may impact policy benefits.
132,What is the process for updating personal details in,CSC Shubhlabh Plan?,Contact customer service or submit a request form to update personal details.
133,Can a loan be taken against the,CSC Shubhlabh Plan?,"Yes, many policies offer loan facilities against the policy's surrender value."
134,What should be done if the policy document is lost in CSC Shubhlabh Plan?,,Report the loss and apply for a duplicate policy document.
135,Are there any additional benefits for timely renewal in in,CSC Shubhlabh Plan?,Some policies offer loyalty bonuses or discounts for timely renewal.
136,Can riders be added to the in,CSC Shubhlabh Plan?,"Yes, additional riders like accidental death or critical illness cover can be added."
137,How often should the policy be reviewed in,CSC Shubhlabh Plan?,Annually or as needed to ensure it meets current needs.
138,What are the benefits of a long-term policy commitment in,CSC Shubhlabh Plan?,Long-term policies often offer higher maturity values and bonus additions.
139,How are policy updates communicatedin,CSC Shubhlabh Plan?,"Through emails, letters, or SMS notifications from the insurer."
140,Can the policy type be switched in,CSC Shubhlabh Plan?,Switching policy types may be possible based on insurer terms.
141,What is the procedure for changing nominee details in,CSC Shubhlabh Plan?,Submit a request form with updated nominee details to the insurer.
142,Are there any bonuses for completing the,CSC Shubhlabh Plan?,Some policies offer bonuses or rewards for completing the term without claims.
143,Can additional coverage be bought for high-risk activitiesin,CSC Shubhlabh Plan?,Additional coverage may be available through special riders or add-ons.
144,What happens during the free-look periodin,CSC Shubhlabh Plan?,The policy can be canceled with a refund of premiums paid minus charges.
145,What if the policyholder is declared bankruptin,CSC Shubhlabh Plan?,"The policy remains valid, but premiums need to be paid regularly."
146,Can the policy be customized for individual needsin,CSC Shubhlabh Plan?,Customization may be available through optional riders or add-ons.
147,What is the process for adding a rider to in,CSC Shubhlabh Plan?,Contact the insurer or submit a rider addition form.
148,How can the premium amount be changed in,CSC Shubhlabh Plan?,Request a change through customer service or by submitting a form.
149,Are there tax implications for policy payouts in,CSC Shubhlabh Plan?,Tax benefits and implications depend on current tax laws; consult a tax advisor.
150,What are the details of IndiaFirst Life Insurance’s shareholding pattern?,,"Bank of Baroda holds 65%, Union Bank of India holds 9%, and Carmel Point Investments India Private Limited holds 26%."
151,How many years must the policyholder wait before they can withdraw or surrender the CSC Shubhlabh Plan?,,5 years
152,What is the guaranteed minimum floor rate per annum on the account value during the CSC Shubhlabh Plan term?,,1.00%
153,What is the duration for which premiums can be paid under this CSC Shubhlabh Plan?,,10 or 15 years
